,start_hour,origin_nta,destination_nta,travel_counts,duration_minutes,arrival_rate
235,5,Others,MN28,166,38.975903614457835,0.026
236,5,Others,MN31,357,43.2296918767507,0.023
237,5,Others,MN32,97,41.71134020618557,0.024
238,5,Others,MN33,278,43.76618705035971,0.023
239,5,Others,MN34,221,32.633484162895925,0.031
240,5,Others,MN35,213,28.253521126760564,0.035
241,5,Others,MN36,291,28.22680412371134,0.035
242,5,Others,MN40,392,37.14795918367347,0.027
243,5,Others,MN50,23,44.608695652173914,0.022
244,5,Others,MN99,86,36.2906976744186,0.028
245,5,Others,Others,1001,42.86513486513486,0.023
246,6,MN01,MN17,8,24.5,0.041
247,6,MN01,MN27,10,26.5,0.038
248,6,MN01,MN33,5,24.2,0.041
249,6,MN01,MN34,5,15.0,0.067
250,6,MN01,MN35,5,7.4,0.135
251,6,MN01,Others,203,21.51231527093596,0.046
252,6,MN03,MN03,20,6.4,0.156
253,6,MN03,MN04,6,7.5,0.133
254,6,MN03,MN06,13,8.23076923076923,0.121
255,6,MN03,MN09,10,10.7,0.093
256,6,MN03,MN12,5,13.8,0.072
257,6,MN03,MN13,5,32.2,0.031
258,6,MN03,MN14,5,13.6,0.074
259,6,MN03,MN21,6,16.5,0.061
260,6,MN03,MN24,7,28.142857142857142,0.036
261,6,MN03,MN28,6,22.666666666666668,0.044
262,6,MN03,MN33,6,14.333333333333334,0.07
263,6,MN03,MN34,7,9.857142857142858,0.101
264,6,MN03,Others,188,26.68617021276596,0.037
265,6,MN04,MN12,5,14.8,0.068
266,6,MN04,MN36,7,7.0,0.143
267,6,MN04,MN40,6,21.833333333333332,0.046
268,6,MN04,Others,75,25.69333333333333,0.039
269,6,MN06,MN23,7,24.285714285714285,0.041
270,6,MN06,Others,29,33.172413793103445,0.03
271,6,MN09,MN12,8,7.5,0.133
272,6,MN09,MN14,6,8.0,0.125
273,6,MN09,MN19,5,11.8,0.085
274,6,MN09,Others,84,32.654761904761905,0.031
275,6,MN11,MN09,7,7.428571428571429,0.135
276,6,MN11,MN12,5,8.0,0.125
277,6,MN11,MN14,5,19.4,0.052
278,6,MN11,MN17,6,17.333333333333332,0.058
279,6,MN11,MN20,7,14.285714285714286,0.07
280,6,MN11,MN24,18,23.0,0.043
281,6,MN11,MN34,10,9.1,0.11
282,6,MN11,MN40,6,14.666666666666666,0.068
283,6,MN11,Others,72,29.930555555555557,0.033
284,6,MN12,MN09,19,7.578947368421052,0.132
285,6,MN12,MN12,24,7.791666666666667,0.128
286,6,MN12,MN14,11,6.545454545454546,0.153
287,6,MN12,MN17,36,10.944444444444445,0.091
288,6,MN12,MN19,14,14.642857142857142,0.068
289,6,MN12,MN20,6,14.166666666666666,0.071
290,6,MN12,MN24,6,19.0,0.053
291,6,MN12,MN25,6,18.5,0.054
292,6,MN12,MN31,6,12.0,0.083
293,6,MN12,MN33,9,8.222222222222221,0.122
294,6,MN12,MN40,17,12.823529411764707,0.078
295,6,MN12,Others,113,39.902654867256636,0.025
296,6,MN13,MN13,40,7.575,0.132
297,6,MN13,MN17,42,8.952380952380953,0.112
298,6,MN13,MN19,7,12.142857142857142,0.082
299,6,MN13,MN23,14,8.571428571428571,0.117
300,6,MN13,MN24,11,19.0,0.053
301,6,MN13,MN25,6,14.166666666666666,0.071
302,6,MN13,Others,88,36.01136363636363,0.028
303,6,MN14,MN17,8,9.5,0.105
304,6,MN14,MN19,5,11.4,0.088
305,6,MN14,MN40,12,10.666666666666666,0.094
306,6,MN14,Others,60,39.15,0.026
307,6,MN15,MN17,18,7.5,0.133
308,6,MN15,Others,52,37.90384615384615,0.026
309,6,MN17,MN13,13,8.384615384615385,0.119
310,6,MN17,MN14,5,8.0,0.125
311,6,MN17,MN17,24,6.666666666666667,0.15
312,6,MN17,MN19,6,7.666666666666667,0.13
313,6,MN17,MN23,6,9.666666666666666,0.103
314,6,MN17,MN24,6,13.5,0.074
315,6,MN17,MN25,5,13.4,0.075
316,6,MN17,Others,169,35.85207100591716,0.028
317,6,MN19,MN13,8,6.75,0.148
318,6,MN19,MN17,28,7.214285714285714,0.139
319,6,MN19,MN19,18,7.388888888888889,0.135
320,6,MN19,MN24,16,15.5625,0.064
321,6,MN19,MN25,8,15.125,0.066
322,6,MN19,MN31,5,8.0,0.125
323,6,MN19,MN40,6,8.0,0.125
324,6,MN19,Others,113,37.150442477876105,0.027
325,6,MN20,MN13,8,10.25,0.098
326,6,MN20,MN17,16,7.9375,0.126
327,6,MN20,MN20,11,6.090909090909091,0.164
328,6,MN20,MN21,14,7.357142857142857,0.136
329,6,MN20,Others,67,34.17910447761194,0.029
330,6,MN21,MN13,7,7.571428571428571,0.132
331,6,MN21,MN24,6,11.666666666666666,0.086
332,6,MN21,Others,23,30.217391304347824,0.033
333,6,MN22,MN13,5,9.6,0.104
334,6,MN22,MN17,5,15.4,0.065
335,6,MN22,MN23,7,6.285714285714286,0.159
336,6,MN22,Others,15,33.8,0.03
337,6,MN23,MN13,11,6.454545454545454,0.155
338,6,MN23,MN17,17,13.058823529411764,0.077
339,6,MN23,MN23,17,6.117647058823529,0.163
340,6,MN23,MN24,14,9.571428571428571,0.104
341,6,MN23,MN25,6,11.333333333333334,0.088
342,6,MN23,Others,74,37.91891891891892,0.026
343,6,MN24,MN17,20,13.55,0.074
344,6,MN24,MN19,6,13.0,0.077
345,6,MN24,MN23,12,8.416666666666666,0.119
346,6,MN24,MN24,20,7.25,0.138
347,6,MN24,MN25,7,9.285714285714286,0.108
348,6,MN24,Others,116,33.9051724137931,0.029
349,6,MN25,MN31,9,16.0,0.062
350,6,MN25,Others,125,31.608,0.032
351,6,MN27,MN13,13,14.538461538461538,0.069
352,6,MN27,MN23,5,11.8,0.085
353,6,MN27,MN25,5,8.8,0.114
354,6,MN27,Others,49,28.775510204081634,0.035
355,6,MN28,MN17,12,19.166666666666668,0.052
356,6,MN28,MN21,9,13.777777777777779,0.073
357,6,MN28,MN23,8,12.625,0.079
358,6,MN28,MN24,5,9.0,0.111
359,6,MN28,MN25,6,8.666666666666666,0.115
360,6,MN28,MN28,5,8.8,0.114
361,6,MN28,Others,78,31.705128205128204,0.032
362,6,MN31,MN09,10,13.1,0.076
363,6,MN31,MN13,7,15.857142857142858,0.063
364,6,MN31,MN17,19,10.31578947368421,0.097
365,6,MN31,MN24,6,16.166666666666668,0.062
366,6,MN31,MN25,12,14.666666666666666,0.068
367,6,MN31,MN31,11,6.363636363636363,0.157
368,6,MN31,MN40,23,8.043478260869565,0.124
369,6,MN31,Others,96,33.875,0.03
370,6,MN32,MN09,7,20.285714285714285,0.049
371,6,MN32,MN14,5,11.6,0.086
372,6,MN32,MN17,9,9.666666666666666,0.103
373,6,MN32,MN32,5,6.0,0.167
374,6,MN32,MN33,5,11.2,0.089
375,6,MN32,MN40,13,7.769230769230769,0.129
376,6,MN32,Others,80,30.5375,0.033
377,6,MN33,MN09,6,13.0,0.077
378,6,MN33,MN14,12,15.583333333333334,0.064
379,6,MN33,MN17,5,18.0,0.056
380,6,MN33,MN21,6,23.666666666666668,0.042
381,6,MN33,MN25,6,20.833333333333332,0.048
382,6,MN33,MN40,8,12.375,0.081
383,6,MN33,Others,100,30.8,0.032
384,6,MN34,MN03,6,10.166666666666666,0.098
385,6,MN34,MN11,7,7.428571428571429,0.135
386,6,MN34,MN17,11,14.727272727272727,0.068
387,6,MN34,MN25,5,16.8,0.06
388,6,MN34,MN31,16,14.75,0.068
389,6,MN34,MN34,7,6.285714285714286,0.159
390,6,MN34,MN40,8,10.0,0.1
391,6,MN34,Others,109,23.394495412844037,0.043
392,6,MN35,MN13,12,26.0,0.038
393,6,MN35,MN17,14,25.857142857142858,0.039
394,6,MN35,MN21,7,28.0,0.036
395,6,MN35,MN23,7,24.428571428571427,0.041
396,6,MN35,Others,175,24.674285714285713,0.041
397,6,MN36,MN06,5,9.6,0.104
398,6,MN36,MN09,6,14.833333333333334,0.067
399,6,MN36,MN11,6,10.5,0.095
400,6,MN36,MN17,16,23.25,0.043
401,6,MN36,MN19,17,18.823529411764707,0.053
402,6,MN36,MN20,6,23.333333333333332,0.043
403,6,MN36,MN23,6,29.0,0.034
404,6,MN36,MN25,6,28.833333333333332,0.035
405,6,MN36,MN31,15,18.533333333333335,0.054
406,6,MN36,MN33,5,18.2,0.055
407,6,MN36,MN35,20,6.5,0.154
408,6,MN36,Others,171,27.140350877192983,0.037
409,6,MN40,MN09,8,18.375,0.054
410,6,MN40,MN12,8,13.625,0.073
411,6,MN40,MN17,49,12.122448979591837,0.082
412,6,MN40,MN19,9,11.11111111111111,0.09
413,6,MN40,MN20,13,9.384615384615385,0.107
414,6,MN40,MN23,7,17.0,0.059
415,6,MN40,MN24,18,18.333333333333332,0.055
416,6,MN40,MN25,10,17.2,0.058
417,6,MN40,MN31,6,6.5,0.154
418,6,MN40,MN32,11,9.363636363636363,0.107
419,6,MN40,MN33,6,11.833333333333334,0.085
420,6,MN40,MN40,34,8.352941176470589,0.12
421,6,MN40,Others,139,34.76978417266187,0.029
422,6,MN50,MN25,7,10.285714285714286,0.097
423,6,MN50,Others,30,41.63333333333333,0.024
424,6,MN99,Others,28,34.857142857142854,0.029
425,6,Others,MN01,290,25.913793103448278,0.039
426,6,Others,MN03,385,33.28311688311688,0.03
